AreaName,id,name,venuelat,venuelng,category
High Park North,4cb8910976ad9c744951e5cb,Hula Girl,43.6597852,-79.45363404,Coffee Shop
High Park North,4c424cabd691c9b67f2e8e0a,LCBO,43.65528023,-79.45090736,Liquor Store
High Park North,4c16b3f46470a593704057d2,Ali Baba's,43.65357552,-79.45144422,Falafel Restaurant
High Park North,4e90d802cc2127f5dabb9821,Gloria Cafe,43.6532442,-79.45167205,Café
High Park North,4b6040daf964a52015dc29e3,Bloor GO / UP Station,43.65741887,-79.45044533,Train Station
High Park North,4de90de845dde4a28d5f6749,Mersin Mediterranean Cuisine,43.65571149,-79.45556662,Mediterranean Restaurant
High Park North,4bead677415e20a1c380e5bb,China Island,43.65611381,-79.45377599,Chinese Restaurant
High Park North,53b9f14c498e83df9095132c,Dairy Queen / Orange Julius,43.65563457,-79.45666552,Fast Food Restaurant
High Park North,54ab4acb498e6b2bbdf10dc2,The Wicket,43.65542956,-79.45672296,Pub
High Park North,4edd5b71e5fa78b171b07919,Stasis Local Foods Home of Stasis Preserves,43.65325927,-79.45168282,Gourmet Shop
High Park North,4b05eaa6f964a520bee522e3,Bloor Street Fitness & Boxing,43.65545406,-79.45257397,Gym
High Park North,4ae466e8f964a520579a21e3,Lunch Box,43.65470593,-79.45978764,Breakfast Spot
High Park North,4b5b558df964a52065f528e3,Amato Pizza,43.65772155,-79.45281149,Pizza Place
High Park North,4ba3df12f964a520a96838e3,Subway,43.65467065,-79.45922366,Sandwich Place
High Park North,4b5a4897f964a5201eba28e3,Petro-Canada,43.654959000000005,-79.45974100000001,Gas Station
High Park North,4b020355f964a520334722e3,Starbucks,43.65347,-79.45159,Coffee Shop
High Park North,4d8f74dd788c54815fae4ffd,FreshCo,43.65842303,-79.45290917,Supermarket
High Park North,4b00ae1ef964a5208e4022e3,7-Eleven,43.65520120000001,-79.4590961,Convenience Store
High Park North,4b65f928f964a520ea0b2be3,Pet Valu,43.65536576,-79.45723164,Pet Store
High Park North,4b32edf1f964a520191625e3,Tim Hortons,43.65530176,-79.45874155,Coffee Shop
High Park North,4b2aaa7df964a52045ad24e3,Shoppers Drug Mart,43.659212,-79.453005,Pharmacy
High Park North,4ac775d5f964a5205db720e3,Dundas West Subway Station,43.65690664,-79.45322676,Metro Station
High Park North,4c62fb56de1b2d7fc79ee370,Toronto Hockey Store and Repair,43.655947999999995,-79.45468199999999,Sporting Goods Shop
High Park North,4bdd9448d33f2d7f8d1f8b3c,Chelsea Avenue Playground,43.65744414,-79.45567846,Playground
High Park North,4aff87c9f964a5204c3922e3,DLM Dance studios,43.655640000000005,-79.455478,Dance Studio
High Park North,4f089186e4b0ca3a5c693bfe,Blue Sky Fruit Market,43.65611329,-79.45378945,Grocery Store
High Park North,59fb87da9d6a1976a019705e,850 Degrees Pizzeria,43.6561769,-79.4537389,Pizza Place
High Park North,4e6501f0fa76cd64cf523743,TTC Bus #193 - Exhibition Rocket,43.65705801,-79.45324003,Bus Line
High Park North,4eb441602c5b531419cf3371,Keele Wall,43.65574658,-79.45779261,Art Gallery
High Park North,4b58569df964a520735328e3,Coffee Time,43.655425,-79.45203168,Coffee Shop
High Park North,4b63c6c8f964a52024912ae3,Jekyl and Hyde,43.65654938,-79.45187996,Pub
High Park North,4ce84491595cb1f75bd6c714,Slovenija Meat Delicatessen,43.658127,-79.453704,Deli / Bodega
High Park North,4dd3098ac65b47384cefa61e,Mister Yummy,43.65679256,-79.45172363,Korean Restaurant
High Park North,4b550d56f964a5205ad927e3,Pizza Pizza,43.65479538,-79.45957294,Pizza Place
High Park North,4b2e7a83f964a520e7e024e3,Macklem's Baby Carriage & Toys,43.653956,-79.451892,Baby Store
High Park North,4ae0db41f964a520168321e3,Keele Subway Station,43.65552815,-79.45951915,Metro Station
High Park North,4c6e14c3e6b7b1f795d1ab8e,October Convenience,43.65465807,-79.46000549,Convenience Store
High Park North,4e1edc96b0fbe764a4a869e6,Bloor St W & Keele St,43.65659576,-79.46087819,Intersection
Silverthorn,519ff013498e7961445199df,Golden Wheat,43.68200768,-79.47128928,Bakery
Silverthorn,4b74a974f964a520feea2de3,Value Village,43.68194772,-79.47315426,Thrift / Vintage Store
Silverthorn,5d3000991938c7000850b41d,A&W Canada,43.68195,-79.47189,Burger Joint
Silverthorn,4c6dbd7e1cbeb713678e9a3c,Subway,43.68182559,-79.47222781,Sandwich Place
Silverthorn,4f25f171e4b0085e4b86d836,King's BBQ Chicken,43.68205373,-79.47141296,Latin American Restaurant
Silverthorn,4d14ee028312236a867b4eba,Pizza Nova,43.6820315,-79.47125366,Pizza Place
Silverthorn,4c1a5f378b3aa5934380955f,Timothy's World Coffee,43.69007166,-79.4745989,Coffee Shop
Glen Park,4bc6f7fe8b7c9c74748d35cf,Tim Hortons,43.70143142,-79.46380285,Coffee Shop
Glen Park,4cf90276b45b5941a01ed1bd,Shelter Furniture,43.70399058,-79.46441501,Furniture / Home Store
Glen Park,4c950e2958d4b60cf5a42e29,Roman Bath Centre,43.70382167,-79.46434858,Furniture / Home Store
Glen Park,4ccdab11ee23a1433e4827a8,Harvey's,43.701871999999995,-79.4626,Fast Food Restaurant
Rexdale,4b5723c7f964a520f22728e3,Pizza Pizza,43.72120583,-79.55867844,Pizza Place
Rexdale,5a89af279411f228f2dae01a,Starving Artist,43.719454999999996,-79.569288,Breakfast Spot
Rexdale,4b3b97ebf964a5209c7625e3,First Choice Haircutters,43.71600992,-79.56631170000001,Salon / Barbershop
Rexdale,4b6b5cbff964a5208b032ce3,Giant Tiger,43.71918516,-79.56947238,Department Store
Islington - City Centre West,57e067ba498eee71d1f36291,Sport Chek,43.61260147,-79.55481701,Sporting Goods Shop
